Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Job_Status,Optimization_Category,Production_Output,lag_1,lag_2,lag_3,rolling_mean_7,hour,day_of_week,op_enc,mach_enc
J031,M03,Grinding,1.7,37,3.21,96,2023-03-18 13:00:00,2023-03-18 13:37:00,Completed,High Efficiency,128.67273712848458,134.28479384950143,129.6408960717923,128.70708074987084,125.49289216187152,13,5,2,2
J032,M03,Drilling,3.02,78,4.93,80,2023-03-18 13:10:00,2023-03-18 14:28:00,Completed,High Efficiency,121.54481259801086,128.67273712848458,134.28479384950143,129.6408960717923,124.88946923016763,13,5,1,2
J033,M04,Lathe,3.7,103,8.02,80,2023-03-18 13:20:00,2023-03-18 15:03:00,Delayed,Low Efficiency,111.38707126184944,121.54481259801086,128.67273712848458,134.28479384950143,123.70902632085952,13,5,3,3
J034,M01,Grinding,1.47,110,12.52,86,2023-03-18 13:30:00,2023-03-18 15:20:00,Delayed,Low Efficiency,95.01701765888036,111.38707126184944,121.54481259801086,128.67273712848458,121.3220584740557,13,5,2,0
J035,M02,Drilling,2.05,47,12.12,82,2023-03-18 13:40:00,2023-03-18 14:27:00,Completed,Moderate Efficiency,105.99143925336925,95.01701765888036,111.38707126184944,121.54481259801086,118.07696683169831,13,5,1,1
J036,M04,Additive,1.76,99,4.72,96,2023-03-18 13:50:00,2023-03-18 15:29:00,Completed,Low Efficiency,132.5777448455199,105.99143925336925,95.01701765888036,111.38707126184944,118.49651665651653,13,5,0,3
J037,M01,Milling,4.6,79,13.17,88,2023-03-18 14:00:00,2023-03-18 15:19:00,Completed,Moderate Efficiency,118.8474534036386,132.5777448455199,105.99143925336925,95.01701765888036,116.29118230710756,14,5,4,0
J038,M01,Grinding,4.77,43,4.98,94,2023-03-18 14:10:00,2023-03-18 14:53:00,Completed,High Efficiency,137.93089924392206,118.8474534036386,132.5777448455199,105.99143925336925,117.61377689502721,14,5,2,0
J040,M01,Lathe,2.29,50,9.94,97,2023-03-18 14:30:00,2023-03-18 15:20:00,Completed,Low Efficiency,116.17548624712333,117.79336591296023,137.93089924392206,118.8474534036386,117.76191522363054,14,5,3,0
J041,M04,Milling,1.15,88,11.64,82,2023-03-18 14:40:00,2023-03-18 16:08:00,Completed,Moderate Efficiency,96.91423517466455,116.17548624712333,117.79336591296023,137.93089924392206,118.03294629731398,14,5,4,3
J042,M04,Additive,1.55,48,13.57,95,2023-03-18 14:50:00,2023-03-18 15:38:00,Completed,Low Efficiency,112.54091031410513,96.91423517466455,116.17548624712333,117.79336591296023,118.96858502027627,14,5,0,3
J043,M03,Additive,4.84,75,4.53,87,2023-03-18 15:00:00,2023-03-18 16:15:00,Completed,High Efficiency,125.57264904687494,112.54091031410513,96.91423517466455,116.17548624712333,117.96785704904126,15,5,0,2
J044,M02,Lathe,1.82,109,5.67,93,2023-03-18 15:10:00,2023-03-18 16:59:00,Completed,Low Efficiency,129.21987697615896,125.57264904687494,112.54091031410513,96.91423517466455,119.44963184511562,15,5,3,1
J045,M02,Milling,3.52,78,3.03,91,2023-03-18 15:20:00,2023-03-18 16:38:00,Completed,High Efficiency,122.43573909124174,129.21987697615896,125.57264904687494,112.54091031410513,117.23603753758984,15,5,4,1
J046,M03,Milling,4.52,30,7.15,85,2023-03-18 15:30:00,2023-03-18 16:00:00,Delayed,Low Efficiency,118.04962849194406,122.43573909124174,129.21987697615896,125.57264904687494,117.27264647744468,15,5,4,2
J047,M02,Drilling,1.9,25,10.09,85,2023-03-18 15:40:00,2023-03-18 16:05:00,Completed,Moderate Efficiency,105.77802319975036,118.04962849194406,122.43573909124174,129.21987697615896,115.78729461353426,15,5,1,1
J048,M02,Lathe,3.67,75,4.12,99,2023-03-18 15:50:00,2023-03-18 17:05:00,Completed,Low Efficiency,136.48845177915956,105.77802319975036,118.04962849194406,122.43573909124174,121.44075412846212,15,5,3,1
J049,M02,Lathe,4.43,33,7.55,80,2023-03-18 16:00:00,2023-03-18 16:33:00,Completed,Moderate Efficiency,107.87551076221024,136.48845177915956,105.77802319975036,118.04962849194406,120.7742684781914,16,5,3,1
J050,M01,Lathe,1.42,104,3.09,87,2023-03-18 16:10:00,2023-03-18 17:54:00,Delayed,Low Efficiency,113.79829859893016,107.87551076221024,136.48845177915956,105.77802319975036,119.09221841419931,16,5,3,0
J052,M05,Grinding,3.91,23,9.2,82,2023-03-18 16:30:00,2023-03-18 16:53:00,Completed,Low Efficiency,122.17951248929631,122.18566719403164,113.79829859893016,107.87551076221024,118.0507275021889,16,5,2,4
J053,M02,Lathe,1.85,97,4.77,98,2023-03-18 16:40:00,2023-03-18 18:17:00,Completed,Low Efficiency,122.09697431215565,122.17951248929631,122.18566719403164,113.79829859893016,118.62891976221913,16,5,3,1
J054,M05,Drilling,2.79,64,6.66,82,2023-03-18 16:50:00,2023-03-18 17:54:00,Delayed,Low Efficiency,115.46983907938794,122.09697431215565,122.17951248929631,122.18566719403164,120.01346488788165,16,5,1,4
J055,M05,Drilling,4.61,116,13.1,99,2023-03-18 17:00:00,2023-03-18 18:56:00,Completed,Low Efficiency,133.47408885830671,115.46983907938794,122.09697431215565,122.17951248929631,119.58284161347409,17,5,1,4
J056,M01,Drilling,4.2,104,11.91,80,2023-03-18 17:10:00,2023-03-18 18:54:00,Completed,Low Efficiency,114.54965935265209,133.47408885830671,115.46983907938794,122.09697431215565,120.53629141210865,17,5,1,0
J057,M02,Additive,1.04,31,6.53,86,2023-03-18 17:20:00,2023-03-18 17:51:00,Completed,Low Efficiency,116.43658611191584,114.54965935265209,133.47408885830671,115.46983907938794,120.91318962824946,17,5,0,1
J058,M01,Grinding,1.03,83,8.42,81,2023-03-18 17:30:00,2023-03-18 18:53:00,Completed,High Efficiency,105.81335948869891,116.43658611191584,114.54965935265209,133.47408885830671,118.57428852748764,17,5,2,0
J059,M05,Additive,3.62,62,6.06,88,2023-03-18 17:40:00,2023-03-18 18:42:00,Delayed,Low Efficiency,128.62638953159518,105.81335948869891,116.43658611191584,114.54965935265209,119.49527096210177,17,5,0,4
J060,M01,Milling,3.29,66,8.69,80,2023-03-18 17:50:00,2023-03-18 18:56:00,Completed,Moderate Efficiency,105.27329417006432,128.62638953159518,105.81335948869891,116.43658611191584,117.09188808466014,17,5,4,0
J062,M02,Lathe,2.47,98,9.93,82,2023-03-18 18:10:00,2023-03-18 19:48:00,Delayed,Low Efficiency,106.0312341922973,109.96669776112026,105.27329417006432,128.62638953159518,112.38531722976343,18,5,3,1
J064,M02,Lathe,4.81,71,7.42,83,2023-03-18 18:30:00,2023-03-18 19:41:00,Completed,High Efficiency,111.19958698834162,111.35426858977773,106.0312341922973,109.96669776112026,111.18069010312789,18,5,3,1
J066,M03,Drilling,3.47,52,2.09,97,2023-03-18 18:50:00,2023-03-18 19:42:00,Delayed,Low Efficiency,136.2280953189587,123.21213071126877,111.19958698834162,111.35426858977773,114.75218681883267,18,5,1,2
J067,M02,Lathe,3.28,23,3.79,84,2023-03-18 19:00:00,2023-03-18 19:23:00,Delayed,Low Efficiency,111.48100826516978,136.2280953189587,123.21213071126877,111.19958698834162,115.63900311813346,19,5,3,1
J068,M02,Lathe,3.48,116,9.64,82,2023-03-18 19:10:00,2023-03-18 21:06:00,Completed,Low Efficiency,114.0259112776289,111.48100826516978,136.2280953189587,123.21213071126877,116.21889076334898,19,5,3,1
J069,M04,Additive,2.61,29,9.58,80,2023-03-18 19:20:00,2023-03-18 19:49:00,Completed,Moderate Efficiency,111.6025081780838,114.0259112776289,111.48100826516978,136.2280953189587,117.01478704703277,19,5,0,3
J071,M04,Milling,2.62,25,7.29,95,2023-03-18 19:40:00,2023-03-18 20:05:00,Completed,Low Efficiency,126.56745281088769,127.2027269789807,111.6025081780838,114.0259112776289,121.47426193442548,19,5,4,3
J072,M05,Grinding,3.52,68,6.05,99,2023-03-18 19:50:00,2023-03-18 20:58:00,Completed,High Efficiency,136.90491455378705,126.56745281088769,127.2027269789807,111.6025081780838,123.4303739119281,19,5,2,4
J073,M04,Drilling,4.17,112,11.57,89,2023-03-18 20:00:00,2023-03-18 21:52:00,Completed,Moderate Efficiency,130.1080034227165,136.90491455378705,126.56745281088769,127.2027269789807,122.55607506960777,20,5,1,3
J074,M04,Milling,3.72,65,12.97,86,2023-03-18 20:10:00,2023-03-18 21:15:00,Completed,Moderate Efficiency,106.58187089823173,130.1080034227165,136.90491455378705,126.56745281088769,121.85619830290234,20,5,4,3
J075,M05,Additive,3.55,85,7.52,84,2023-03-18 20:20:00,2023-03-18 21:45:00,Completed,High Efficiency,128.61270820588774,106.58187089823173,130.1080034227165,136.90491455378705,123.94002643551075,20,5,0,4
J077,M01,Milling,3.46,62,7.46,84,2023-03-18 20:40:00,2023-03-18 21:42:00,Completed,High Efficiency,108.00401425409059,105.52894954529843,128.61270820588774,106.58187089823173,120.32970195584282,20,5,4,0
J078,M02,Milling,2.08,107,2.2,89,2023-03-18 20:50:00,2023-03-18 22:37:00,Delayed,Low Efficiency,116.44575167617792,108.00401425409059,105.52894954529843,128.61270820588774,118.88374465088428,20,5,4,1
J079,M05,Milling,4.55,84,7.43,97,2023-03-18 21:00:00,2023-03-18 22:24:00,Delayed,Low Efficiency,131.05123733936315,116.44575167617792,108.00401425409059,105.52894954529843,118.04750504882372,21,5,4,4
J080,M04,Grinding,2.11,82,14.62,89,2023-03-18 21:10:00,2023-03-18 22:32:00,Completed,Low Efficiency,111.82182671114874,131.05123733936315,116.44575167617792,108.00401425409059,115.43519409002832,21,5,2,3
J081,M02,Additive,4.01,69,11.72,88,2023-03-18 21:20:00,2023-03-18 22:29:00,Completed,Low Efficiency,116.04525079608322,111.82182671114874,131.05123733936315,116.44575167617792,116.7871055040071,21,5,0,1
J082,M01,Drilling,1.73,24,13.39,98,2023-03-18 21:30:00,2023-03-18 21:54:00,Completed,Low Efficiency,120.89113243477094,116.04525079608322,111.82182671114874,131.05123733936315,115.68402325099042,21,5,1,0
J083,M03,Drilling,4.15,59,12.15,85,2023-03-18 21:40:00,2023-03-18 22:39:00,Completed,Moderate Efficiency,121.2733121986523,120.89113243477094,116.04525079608322,111.82182671114874,117.93321791575526,21,5,1,2
J084,M05,Drilling,1.19,77,11.36,95,2023-03-18 21:50:00,2023-03-18 23:07:00,Delayed,Low Efficiency,112.85178156861389,121.2733121986523,120.89113243477094,116.04525079608322,118.6257561035443,21,5,1,4
J085,M02,Lathe,3.38,44,3.35,87,2023-03-18 22:00:00,2023-03-18 22:44:00,Completed,High Efficiency,130.351260968978,112.85178156861389,121.2733121986523,120.89113243477094,120.61225743108717,22,5,3,1
J086,M05,Drilling,2.77,77,14.07,93,2023-03-18 22:10:00,2023-03-18 23:27:00,Completed,Moderate Efficiency,130.69044588015294,130.351260968978,112.85178156861389,121.2733121986523,120.56071579405716,22,5,1,4
J087,M03,Lathe,2.33,59,14.83,98,2023-03-18 22:20:00,2023-03-18 23:19:00,Delayed,Low Efficiency,121.65289785579827,130.69044588015294,130.351260968978,112.85178156861389,121.9651545290071,22,5,3,2
J088,M04,Additive,1.36,60,9.56,94,2023-03-18 22:30:00,2023-03-18 23:30:00,Completed,Low Efficiency,122.08837582093825,121.65289785579827,130.69044588015294,130.351260968978,122.82845810398638,22,5,0,3
J089,M04,Grinding,4.66,55,14.16,81,2023-03-18 22:40:00,2023-03-18 23:35:00,Completed,Low Efficiency,109.26423689244729,122.08837582093825,121.65289785579827,130.69044588015294,121.16747302651156,22,5,2,3
J090,M02,Lathe,2.38,27,12.34,99,2023-03-18 22:50:00,2023-03-18 23:17:00,Delayed,Low Efficiency,123.49425863465568,109.26423689244729,122.08837582093825,121.65289785579827,121.48475108879776,22,5,3,1
J091,M02,Grinding,4.86,60,14.6,83,2023-03-18 23:00:00,2023-03-19 00:00:00,Completed,Low Efficiency,111.37411526513412,123.49425863465568,109.26423689244729,122.08837582093825,121.27365590258637,23,5,2,1
J093,M03,Lathe,1.63,86,9.92,98,2023-03-18 23:20:00,2023-03-19 00:46:00,Delayed,Low Efficiency,120.24237489038431,135.11922535191215,111.37411526513412,123.49425863465568,120.46221210161,23,5,3,2
J094,M05,Lathe,4.43,51,7.61,86,2023-03-18 23:30:00,2023-03-19 00:21:00,Delayed,Low Efficiency,130.05619518241855,120.24237489038431,135.11922535191215,111.37411526513412,121.66268314827005,23,5,3,4
J095,M03,Lathe,3.43,113,9.22,89,2023-03-18 23:40:00,2023-03-19 01:33:00,Completed,Low Efficiency,120.922831985872,130.05619518241855,120.24237489038431,135.11922535191215,121.49617688611772,23,5,3,2
J096,M05,Milling,4.18,110,10.67,99,2023-03-18 23:50:00,2023-03-19 01:40:00,Delayed,Low Efficiency,132.55886584095973,120.922831985872,130.05619518241855,120.24237489038431,124.8239810216195,23,5,4,4
J097,M04,Drilling,3.88,57,3.8,87,2023-03-19 00:00:00,2023-03-19 00:57:00,Delayed,Low Efficiency,131.1725001036041,132.55886584095973,120.922831985872,130.05619518241855,125.92087266004071,0,6,1,3
J098,M03,Grinding,3.87,91,14.55,92,2023-03-19 00:10:00,2023-03-19 01:41:00,Completed,Moderate Efficiency,127.6143524695292,131.1725001036041,132.55886584095973,120.922831985872,128.24090654638286,0,6,2,2
J100,M02,Grinding,2.71,27,12.24,96,2023-03-19 00:30:00,2023-03-19 00:57:00,Completed,Moderate Efficiency,121.10694681722352,123.0955604635181,127.6143524695292,131.1725001036041,126.64675040901788,0,6,2,1
J101,M05,Additive,4.8,37,4.73,92,2023-03-19 00:40:00,2023-03-19 01:17:00,Completed,Low Efficiency,150.1397534852813,121.10694681722352,123.0955604635181,127.6143524695292,129.5158301665697,0,6,0,4
J102,M04,Grinding,4.96,110,14.56,88,2023-03-19 00:50:00,2023-03-19 02:40:00,Completed,Low Efficiency,114.04920469428777,150.1397534852813,121.10694681722352,123.0955604635181,128.5338834106291,0,6,2,3
J103,M05,Lathe,2.54,105,9.97,96,2023-03-19 01:00:00,2023-03-19 02:45:00,Delayed,Low Efficiency,117.37357500757135,114.04920469428777,150.1397534852813,121.10694681722352,126.36455614871647,1,6,3,4
J104,M05,Milling,3.6,62,8.45,87,2023-03-19 01:10:00,2023-03-19 02:12:00,Completed,Low Efficiency,124.90698354079007,117.37357500757135,114.04920469428777,150.1397534852813,125.46948235402876,1,6,4,4
J105,M03,Grinding,1.85,43,13.65,86,2023-03-19 01:20:00,2023-03-19 02:03:00,Completed,Low Efficiency,102.0293829744292,124.90698354079007,117.37357500757135,114.04920469428777,121.8144867118716,1,6,2,2
J106,M03,Grinding,4.58,107,8.8,80,2023-03-19 01:30:00,2023-03-19 03:17:00,Completed,Low Efficiency,128.18810592824647,102.0293829744292,124.90698354079007,117.37357500757135,122.5419932068328,1,6,2,2
J108,M05,Lathe,3.28,78,14.78,84,2023-03-19 01:50:00,2023-03-19 03:08:00,Completed,Moderate Efficiency,107.20672594279621,119.49790509620128,128.18810592824647,102.0293829744292,116.17884045490318,1,6,3,4
J109,M05,Lathe,3.19,102,5.14,84,2023-03-19 02:00:00,2023-03-19 03:42:00,Completed,Low Efficiency,131.8117101324019,107.20672594279621,119.49790509620128,128.18810592824647,118.71634123177662,2,6,3,4
J110,M05,Additive,3.17,107,9.31,89,2023-03-19 02:10:00,2023-03-19 03:57:00,Completed,Low Efficiency,134.52557395717213,131.8117101324019,107.20672594279621,119.49790509620128,121.16662679600532,2,6,0,4
J111,M01,Drilling,2.87,119,13.26,80,2023-03-19 02:20:00,2023-03-19 04:19:00,Completed,Low Efficiency,115.47079480213284,134.52557395717213,131.8117101324019,107.20672594279621,119.81859983334002,2,6,1,0
J112,M02,Lathe,3.71,74,7.12,95,2023-03-19 02:30:00,2023-03-19 03:44:00,Completed,Moderate Efficiency,130.47122329137693,115.47079480213284,134.52557395717213,131.8117101324019,123.88171987861824,2,6,3,1
J113,M01,Drilling,3.77,103,2.25,95,2023-03-19 02:40:00,2023-03-19 04:23:00,Completed,Low Efficiency,130.1888715747265,130.47122329137693,115.47079480213284,134.52557395717213,124.16754354240113,2,6,1,0
J114,M01,Lathe,1.26,116,4.36,98,2023-03-19 02:50:00,2023-03-19 04:46:00,Delayed,Low Efficiency,131.12832476549517,130.1888715747265,130.47122329137693,115.47079480213284,125.82903206658595,2,6,3,0
J115,M04,Lathe,1.32,114,9.49,86,2023-03-19 03:00:00,2023-03-19 04:54:00,Completed,High Efficiency,109.1919831452431,131.12832476549517,130.1888715747265,130.47122329137693,126.11264023836408,3,6,3,3
J116,M04,Milling,2.11,77,5.69,90,2023-03-19 03:10:00,2023-03-19 04:27:00,Completed,Low Efficiency,123.06928197898198,109.1919831452431,131.12832476549517,130.1888715747265,124.86372193073268,3,6,4,3
J117,M02,Grinding,1.57,67,5.41,81,2023-03-19 03:20:00,2023-03-19 04:27:00,Completed,Low Efficiency,116.03925983886873,123.06928197898198,109.1919831452431,131.12832476549517,122.22281991383218,3,6,2,1
J119,M04,Drilling,1.09,58,6.55,89,2023-03-19 03:40:00,2023-03-19 04:38:00,Completed,High Efficiency,122.72539685173041,100.57094953454583,116.03925983886873,123.06928197898198,118.98772395565597,3,6,1,3
J120,M04,Lathe,1.22,33,5.5,91,2023-03-19 03:50:00,2023-03-19 04:23:00,Completed,High Efficiency,123.58103335783264,122.72539685173041,100.57094953454583,116.03925983886873,118.04374706752826,3,6,3,3
J121,M05,Additive,4.13,39,8.06,91,2023-03-19 04:00:00,2023-03-19 04:39:00,Completed,Low Efficiency,135.46512765577813,123.58103335783264,122.72539685173041,100.57094953454583,118.6632903375687,4,6,0,4
J122,M02,Grinding,3.22,102,7.75,96,2023-03-19 04:10:00,2023-03-19 05:52:00,Completed,Low Efficiency,120.77299604707903,135.46512765577813,123.58103335783264,122.72539685173041,120.31772075211668,4,6,2,1
J123,M04,Grinding,2.65,85,8.35,80,2023-03-19 04:20:00,2023-03-19 05:45:00,Completed,Low Efficiency,115.2461908710303,120.77299604707903,135.46512765577813,123.58103335783264,119.20013630812359,4,6,2,3
J124,M01,Grinding,4.75,40,4.42,80,2023-03-19 04:30:00,2023-03-19 05:10:00,Completed,High Efficiency,127.95292948343516,115.2461908710303,120.77299604707903,135.46512765577813,120.90208911449021,4,6,2,0
J125,M02,Additive,2.43,76,3.58,91,2023-03-19 04:40:00,2023-03-19 05:56:00,Completed,High Efficiency,125.03616070134316,127.95292948343516,115.2461908710303,120.77299604707903,124.39711928117556,4,6,0,1
J126,M01,Milling,3.12,70,5.07,98,2023-03-19 04:50:00,2023-03-19 06:00:00,Completed,Low Efficiency,124.48782729836164,125.03616070134316,127.95292948343516,115.2461908710303,124.64889505926571,4,6,4,0
J127,M04,Additive,4.22,27,6.94,87,2023-03-19 05:00:00,2023-03-19 05:27:00,Delayed,Low Efficiency,128.36623224139183,124.48782729836164,125.03616070134316,127.95292948343516,125.33249489977418,5,6,0,3
J128,M04,Grinding,3.24,40,10.06,91,2023-03-19 05:10:00,2023-03-19 05:50:00,Completed,Low Efficiency,131.8143186423967,128.36623224139183,124.48782729836164,125.03616070134316,124.81095075500541,5,6,2,3
J129,M05,Grinding,2.07,45,7.75,84,2023-03-19 05:20:00,2023-03-19 06:05:00,Completed,Moderate Efficiency,120.50647378506218,131.8143186423967,128.36623224139183,124.48782729836164,124.77287614614586,5,6,2,4
J130,M02,Milling,1.1,78,2.49,96,2023-03-19 05:30:00,2023-03-19 06:48:00,Completed,Optimal Efficiency,123.19930918120556,120.50647378506218,131.8143186423967,128.36623224139183,125.90903590474231,5,6,4,1
J131,M04,Drilling,3.55,78,4.87,97,2023-03-19 05:40:00,2023-03-19 06:58:00,Completed,Low Efficiency,132.83141962777344,123.19930918120556,120.50647378506218,131.8143186423967,126.60596306821922,5,6,1,3
J132,M01,Additive,4.64,70,10.68,82,2023-03-19 05:50:00,2023-03-19 07:00:00,Delayed,Low Efficiency,121.72024595645908,132.83141962777344,123.19930918120556,120.50647378506218,126.1322609618072,5,6,0,0
J133,M01,Drilling,4.42,85,6.51,92,2023-03-19 06:00:00,2023-03-19 07:25:00,Completed,High Efficiency,125.88633669671313,121.72024595645908,132.83141962777344,123.19930918120556,126.33204801871456,6,6,1,0
J135,M01,Drilling,4.64,23,8.31,86,2023-03-19 06:20:00,2023-03-19 06:43:00,Completed,High Efficiency,119.88876960810559,112.52315279137176,125.88633669671313,121.72024595645908,122.36510109238439,6,6,1,0
J136,M04,Drilling,4.7,78,2.59,95,2023-03-19 06:30:00,2023-03-19 07:48:00,Completed,Low Efficiency,145.22416647473247,119.88876960810559,112.52315279137176,125.88633669671313,125.89620004805158,6,6,1,3
J137,M01,Lathe,2.86,91,11.79,89,2023-03-19 06:40:00,2023-03-19 08:11:00,Completed,Moderate Efficiency,113.94495408307472,145.22416647473247,119.88876960810559,112.52315279137176,124.57414931974715,6,6,3,0
J138,M03,Grinding,4.14,65,11.48,81,2023-03-19 06:50:00,2023-03-19 07:55:00,Delayed,Low Efficiency,113.47250622211003,113.94495408307472,145.22416647473247,119.88876960810559,121.80859026179526,6,6,2,2
J139,M03,Additive,4.04,45,4.48,92,2023-03-19 07:00:00,2023-03-19 07:45:00,Completed,High Efficiency,137.34403356330824,113.47250622211003,113.94495408307472,145.22416647473247,124.04055991991656,7,6,0,2
J140,M05,Drilling,2.58,100,8.54,85,2023-03-19 07:10:00,2023-03-19 08:50:00,Completed,Moderate Efficiency,115.31669245634747,137.34403356330824,113.47250622211003,113.94495408307472,122.53061074272146,7,6,1,4
J141,M03,Drilling,2.45,100,6.0,91,2023-03-19 07:20:00,2023-03-19 09:00:00,Completed,Low Efficiency,117.71871203647197,115.31669245634747,137.34403356330824,113.47250622211003,123.27283349202149,7,6,1,2
J142,M03,Lathe,2.69,110,3.75,93,2023-03-19 07:30:00,2023-03-19 09:20:00,Completed,Low Efficiency,128.51195850632269,117.71871203647197,115.31669245634747,137.34403356330824,124.50471762033824,7,6,3,2
J143,M03,Additive,4.02,33,4.28,87,2023-03-19 07:40:00,2023-03-19 08:13:00,Delayed,Low Efficiency,132.36736747686265,128.51195850632269,117.71871203647197,115.31669245634747,122.66803204921396,7,6,0,2
J144,M03,Milling,2.1,47,6.24,87,2023-03-19 07:50:00,2023-03-19 08:37:00,Completed,Low Efficiency,117.63715718446053,132.36736747686265,128.51195850632269,117.71871203647197,123.19548963512624,7,6,4,2
J145,M05,Lathe,4.02,22,7.26,97,2023-03-19 08:00:00,2023-03-19 08:22:00,Completed,Moderate Efficiency,144.8737238743197,117.63715718446053,132.36736747686265,128.51195850632269,127.68137787115619,8,6,3,4
J147,M03,Lathe,3.73,29,11.1,88,2023-03-19 08:20:00,2023-03-19 08:49:00,Delayed,Low Efficiency,112.57088887277922,132.74039743495206,144.8737238743197,117.63715718446053,126.63145791230984,8,6,3,2
